,HDI Rank,Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
45,94,Jamaica,,,,,,0.5,,0.5,,,
46,86,Jordan,,,,,0.1,,,0.1,,,
47,56,Kazakhstan,,0.2,,,,,0.0,,,,
48,146,Kenya,,,,,15.7,,,,,10.7,
49,120,Kyrgyzstan,,0.3,,,,,,0.1,,0.0,
50,138,Lao People's Democratic Republic,,35.2,,,,,,18.8,,,
51,160,Lesotho,,,,,18.2,,,,,,
52,177,Liberia,,,52.8,,,,,,35.4,,
53,102,Libya,,,0.1,,,,,,,,
54,158,Madagascar,,,,,48.0,,,,,,
55,170,Malawi,,,,,,29.8,,,,24.3,
56,105,Maldives,,,,,0.1,,,,,,
57,175,Mali,,66.8,,,,,,,55.9,,
58,157,Mauritania,,,42.3,,,,29.9,,,,
59,77,Mexico,,1.6,,,,,,1.1,,,
60,107,Moldova (Republic of),0.2,,,,,,,0.1,,,
61,92,Mongolia,4.2,,,,,2.3,,,,,
62,48,Montenegro,,0.5,,,,,,,0.0,,
63,123,Morocco,,,,,,,4.9,,,,
64,181,Mozambique,,,,,43.2,,44.1,,,,
65,125,Namibia,,,15.7,,,,,,13.4,,
66,144,Nepal,,31.6,,,,,18.6,,,9.3,
67,124,Nicaragua,,,12.9,,,,6.9,,,,
68,187,Niger,,86.1,,,,,,73.5,,,
69,152,Nigeria,,,,31.4,,,25.7,,30.0,,
70,147,Pakistan,,,21.7,,,,,,26.5,,
71,114,"Palestine, State of",,,0.1,,,0.1,,,,0.2,
72,87,Peru,,,,3.9,,3.1,2.8,2.1,,,
73,116,Philippines,,,,5.0,,,,,4.2,,
74,159,Rwanda,60.4,,,,,34.6,,,,,20.5
75,92,Saint Lucia,,,,,,,,0.0,,,
76,142,Sao Tome and Principe,,,,,16.4,,,,,,
77,162,Senegal,51.6,,,,,,45.1,,32.6,30.8,
78,66,Serbia,,0.3,,,,0.0,,,,0.1,
79,179,Sierra Leone,,,,51.7,,46.4,,,43.9,,
80,0,Somalia,,63.6,,,,,,,,,
81,119,South Africa,,,,1.4,,,,1.3,,,
82,181,South Sudan,,,,,,69.6,,,,,
83,165,Sudan,,,,,,31.9,,,,,
84,97,Suriname,,3.6,,,,2.0,,,,,
85,148,Swaziland,,,,,,7.4,,,,,
86,149,Syrian Arab Republic,,0.9,,,1.3,,,,,,
87,129,Tajikistan,2.3,,,,,,,1.2,,,
88,151,Tanzania (United Republic of),,,,,,32.1,,,,,
89,87,Thailand,,0.1,,,,,,,,,
90,82,The former Yugoslav Republic of Macedonia,0.7,,,,,,0.1,,,,
91,133,Timor-Leste,,,,,,31.5,,,,,
92,166,Togo,,28.8,,,,26.4,,,,23.2,
93,65,Trinidad and Tobago,,0.2,,,,,,,,,
94,97,Tunisia,,,,,,,,0.2,,,
95,111,Turkmenistan,,0.1,,,,,,,,,
96,163,Uganda,,41.5,,,,,33.3,,,,
97,84,Ukraine,,,0.0,,,,,0.0,,,
98,105,Uzbekistan,,0.1,,,,,,,,,
99,134,Vanuatu,,,7.3,,,,,,,,
100,115,Viet Nam,,,,,,,1.3,,,0.6,
101,168,Yemen,,18.4,,,,,,,19.4,,
102,139,Zambia,,,31.3,,,,,,,22.5,
103,154,Zimbabwe,,15.7,,,,,12.2,,,7.8,
104,,,,,,,,,,,,,
