,HDI Rank,Country,2010,2011,2012,2013,2014,2015
138,87,Thailand,0.567,0.573,0.577,0.585,0.585,0.586
139,82,The former Yugoslav Republic of Macedonia,0.613,0.618,0.633,0.643,0.621,0.623
140,133,Timor-Leste,0.404,0.415,0.415,0.424,0.418,0.416
141,166,Togo,0.306,0.309,0.312,0.319,0.322,0.332
142,65,Trinidad and Tobago,0.653,0.654,0.655,0.660,0.660,0.661
143,97,Tunisia,0.534,0.537,,,0.564,0.562
144,71,Turkey,0.563,0.581,0.584,0.640,0.644,0.645
145,111,Turkmenistan,0.490,,,,,
146,163,Uganda,0.324,0.317,0.317,0.334,0.340,0.341
147,84,Ukraine,0.674,0.671,0.676,0.678,0.690,0.690
148,16,United Kingdom,0.814,0.823,0.824,0.823,0.830,0.836
149,10,United States,0.807,0.774,0.801,0.757,0.762,0.796
150,54,Uruguay,0.655,0.656,0.658,0.663,0.679,0.670
151,105,Uzbekistan,0.560,0.572,0.573,0.581,0.587,0.590
152,134,Vanuatu,,,,,0.495,0.494
153,71,Venezuela (Bolivarian Republic of),0.595,0.563,0.565,0.619,0.618,0.618
154,115,Viet Nam,0.548,0.569,0.575,0.574,0.560,0.562
155,168,Yemen,0.324,0.334,0.337,0.336,0.329,0.320
156,139,Zambia,0.372,0.390,0.358,0.371,0.378,0.373
157,154,Zimbabwe,0.317,0.331,0.349,0.363,0.370,0.368
158,,,,,,,,
